state_abbr,date_range_start,Nunits_Benchmark,SumDailyVisits_Benchmark,MaxDailyVisitsPerUnit_Benchmark,MinDailyVisitsPerUnit_Benchmark,MedDailyVisitsPerUnit_Benchmark,Nunits_Focal,SumDailyVisits_Focal,MaxDailyVisitsPerUnit_Focal,MinDailyVisitsPerUnit_Focal,MedDailyVisitsPerUnit_Focal,Post03132020,BlueState,Blue_Post,ln_SumDailyVisits,state,total_population,male,female,median_age,age_over18,age_over21,age_over62,age_over65,single_race,two_or_more_race,white,black,indian_alaska,asian,hawaiian_pacific,other_races,hispanic_latino,housing_units,citizen,citizen_male,citizen_female,Y,date,day_of_week,Monday,Monday
AL,2018-04-09 00:00:00+00:00,4.0,445.0,35.0,5.0,14.0,2.0,576.0,72.0,12.0,35.5,0.0,0.0,0.0,6.3578422665081,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.25752331448803556,2018-04-09 00:00:00+00:00,Monday,True,True
AL,2018-04-16 00:00:00+00:00,4.0,474.0,46.0,4.0,13.5,2.0,571.0,69.0,17.0,36.5,0.0,0.0,0.0,6.349138991379798,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.1858241873451565,2018-04-16 00:00:00+00:00,Monday,True,True
AL,2018-04-23 00:00:00+00:00,4.0,509.0,40.0,4.0,17.5,2.0,588.0,65.0,18.0,42.5,0.0,0.0,0.0,6.3784261836515865,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.14401545793321535,2018-04-23 00:00:00+00:00,Monday,True,True
AL,2018-04-30 00:00:00+00:00,4.0,545.0,54.0,4.0,16.0,2.0,586.0,78.0,15.0,38.0,0.0,0.0,0.0,6.375024819828097,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.07240584408319162,2018-04-30 00:00:00+00:00,Monday,True,True
AL,2018-05-07 00:00:00+00:00,4.0,683.0,73.0,4.0,22.0,2.0,600.0,99.0,17.0,33.5,0.0,0.0,0.0,6.398594934535208,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,-0.12936298308734262,2018-05-07 00:00:00+00:00,Monday,True,True
AL,2018-05-14 00:00:00+00:00,4.0,496.0,55.0,4.0,14.5,2.0,520.0,66.0,18.0,33.0,0.0,0.0,0.0,6.255750041753367,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.047160015656738,2018-05-14 00:00:00+00:00,Monday,True,True
AL,2018-05-21 00:00:00+00:00,4.0,551.0,55.0,4.0,16.0,2.0,574.0,57.0,19.0,41.5,0.0,0.0,0.0,6.354370040797351,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.0408219945202557,2018-05-21 00:00:00+00:00,Monday,True,True
AL,2018-05-28 00:00:00+00:00,4.0,554.0,44.0,4.0,21.0,2.0,529.0,64.0,13.0,34.0,0.0,0.0,0.0,6.272877006546167,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,-0.04609110720026699,2018-05-28 00:00:00+00:00,Monday,True,True
AL,2018-06-04 00:00:00+00:00,4.0,469.0,38.0,2.0,14.0,2.0,568.0,70.0,17.0,40.0,0.0,0.0,0.0,6.343880434126331,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.19114773942222651,2018-06-04 00:00:00+00:00,Monday,True,True
AL,2018-06-11 00:00:00+00:00,4.0,600.0,50.0,3.0,17.5,2.0,734.0,85.0,21.0,50.0,0.0,0.0,0.0,6.5998704992128365,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.20127556467762897,2018-06-11 00:00:00+00:00,Monday,True,True
AL,2018-06-18 00:00:00+00:00,4.0,487.0,35.0,2.0,16.5,2.0,527.0,60.0,23.0,32.0,0.0,0.0,0.0,6.269096283706261,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.07878087785311383,2018-06-18 00:00:00+00:00,Monday,True,True
AL,2018-06-25 00:00:00+00:00,4.0,503.0,41.0,0.0,18.0,2.0,569.0,68.0,17.0,37.5,0.0,0.0,0.0,6.345636360828596,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.1230600927572274,2018-06-25 00:00:00+00:00,Monday,True,True
